id	Word1	Word2	Pronunciation	Meaning	Translation	Extra1	Extra2	False	confidence
64	得到	得到	dé dào	conseguir	get		得到	False	0
65	到	到	dào	alcanzar	reach		到	False	0
66	等（动）	等	děng	etc.; esperar	etc.; wait		等	False	0
67	地点	地點	dìdiǎn	ubicación	location		地点	False	0
68	地	地	de	palabra auxiliar	auxiliary word		地	False	0
69	地方	地方	dìfang	local	local		地方	False	0
70	地上	地上	dì shàng	en el piso	on the ground		地上	False	0
71	的	的	de	(aux.)	(aux.)		的	False	0
72	地图	地圖	dìtú	mapa	Map		地图	False	0
73	弟弟	弟弟	dìdi	love	love		弟弟	False	0
74	第（第二）	第	dì （ dì èr ）	palabra auxiliar para números ordinales (segundo)	auxiliary word for ordinal numbers (second )		第	False	0
75	点	點	diǎn	lugar	spot		点	False	0
76	电话	電話	diàn huà	teléfono	phone		电话	False	0
77	电	電	diàn	electricidad	electricity		电	False	0
78	电脑	電腦	diànnǎo	computadora	Computer		电脑	False	0
79	电视机	電視機	diàn shì jī	televisión	television		电视机	False	0
80	电影	電影	diànyǐng	película	Film		电影	False	0
81	电视	電視	diànshì	televisión	television		电视	False	0
82	电影院	電影院	diàn yǐng yuàn	cine; cine	cinema; movie theater		电影院	False	0
83	东边	東邊	dōng biān	lado este	east side		东边	False	0
84	东	東	dōng	este	east		东	False	0
85	东西	東西	dōngxi	cosa	thing		东西	False	0
86	动	動	dòng	mover	move		动	False	0
87	动作	動作	dòngzuò	acción	action		动作	False	0
88	读	讀	dú	leer	read		读	False	0
89	都	都	dōu	todo	all		都	False	1
90	读书	讀書	dú shū	lectura; estudiar	reading; study		读书	False	0
91	对不起	對不起	duìbuqǐ	lo lamento.	I’m sorry.		对不起	False	0
92	多（形、代）	多	duō	muchos; mucho; más	many; much; more		多	False	0
93	多少	多少	duōshao	cuánto	how much		多少	False	0
94	儿子	兒子	érzi	hijo	Son		儿子	False	0
95	饿	餓	è	hambriento	hungry		饿	False	0
96	对（形）	對	duì	bien; a; en; rostro; ser opuesto; respuesta	right; to; at; face; be opposite; answer		对	False	0
97	二	二	èr	dos	Two		二	False	0
98	饭	飯	fàn	arroz; comida	rice; meal		饭	False	0
99	饭店	飯店	fàndiàn	restaurante	restaurant		饭店	False	0
100	房间	房間	fángjiān	habitación	Room		房间	False	0
101	房子	房子	fáng zi	casa; edificio	house; building		房子	False	0
102	放	放	fàng	descargar	discharge		放	False	0
103	放假	放假	fàng jià	día festivo; tener unas vacaciones	holiday; have a holiday		放假	False	0
104	飞	飛	fēi	volar	fly		飞	False	0
105	放学	放學	fàng xué	fuera de la escuela	off school		放学	False	0
106	飞机	飛機	fēijī	aeronave	aircraft		飞机	False	0
107	非常	非常	fēicháng	muy	very		非常	False	1
108	分（名、量）	分	fēn	minuto; punto; parte; (palabra de medida) dividir; parte; distribuir	minute; point; part; (measure word) divide; part; distribute		分	False	0
109	风	風	fēng	viento	wind		风	False	0
110	干	幹	gān	seco	dry		干	False	0
111	干净	乾淨	gānjìng	limpio	clean		干净	False	0
112	高兴	高興	gāoxìng	feliz	happy		高兴	False	0
113	高	高	gāo	alto	high		高	False	0
114	告诉	告訴	gàosu	decir	tell		告诉	False	0
115	哥哥	哥哥	gēge	hermano mayor	elder brother		哥哥	False	0
116	歌	謌	gē	canción	song		歌	False	0
117	干什么	幹甚麼	gàn shén me	qué hacer	What to do		干什么	False	0
118	个	箇	gè	individual	individual		个	False	0
119	给	給	gěi	dar	give		给	False	0
120	跟	跟	gēn	con	with		跟	False	0
121	工人	工人	gōngrén	obrero	Worker		工人	False	0
122	工作	工作	gōngzuò	trabajar	work		工作	False	0
123	关（动）	關	guān	aprobar; punto de control; aduana; mecanismo; barrera; cerrar; cerca; apagar	pass; check point; customhouse; mechanism; barrier; shut; close; turn off		关	False	0
124	关上	關上	guān shàng	cerrar; cerrar a; apagar	close;shut to; turn off		关上	False	0
125	国	國	guó	país; estado; nación	country; state; nation		国	False	0
126	国家	國家	guójiā	país	Country		国家	False	0
127	贵	貴	guì	noble	noble		贵	False	0
128	国外	國外	guó wài	extranjero; de ultramar; en el extranjero	foreign; oversea; abroad		国外	False	0
129	还是	還是	háishi	aún	still		还是	False	0
130	孩子	孩子	háizi	niños	Children		孩子	False	0
131	还有	還有	hái yǒu	también; además; además	also; in addition; besides		还有	False	0
132	过	過	guò	cruz; aprobar; gastar; vivir	cross; pass; spend; live		过	False	0
133	汉语	漢語	hànyǔ	chino	Chinese		汉语	False	0
134	还	還	hái	también; aún; todavía	also; still; yet		还	False	0
135	汉字	漢字	hàn zì	personaje chino	Chinese character		汉字	False	0
136	好（形）	好	hǎo	bueno; bien	well; fine; okay; good		好	False	0
137	好吃	好吃	hǎochī	delicioso	Yummy		好吃	False	0
138	好看	好看	hǎo kàn	buen mozo	good looking		好看	False	0
139	好听	好聽	hǎo tīng	agradable escuchar	pleasant to hear		好听	False	0
140	好玩儿	好玩兒	hǎo wánr	divertido; interesante	fun; interesting		好玩儿	False	0
141	号	號	hào	número/fecha	Number/date		号	False	0
142	喝	喝	hē	beber	drink		喝	False	0
143	和	龢	hé	y	and		和	False	0
144	很	很	hěn	muy	very		很	False	0
145	后	後	hòu	atrás; detrás; después; más tarde	back; behind; after; later		后	False	0
146	后边	後邊	hòu biān	detrás; atrás	behind; back		后边	False	0
147	话	諙	huà	palabra; palabras	word; words		话	False	0
148	后天	後天	hòu tiān	pasado mañana	day after tomorrow		后天	False	0
149	坏	壞	huài	malo	bad		坏	False	0
150	回答	回答	huídá	respuesta	Answer		回答	False	0
151	回（动）	逥	huí	regresa; devolver	go back; return		回	False	0
152	花（名）	蘤	huā	gastar; flor; multicolor; de colores; florido	spend; expend; flower; multicoloured; coloured		花	False	0
153	回到	回到	huí dào	de regreso	back to		回到	False	0
154	回家	回家	huí jiā	vete a casa; volver a casa	go home; return home		回家	False	0
155	回去	回去	huí qù	regresa	go back		回去	False	0
156	回来	回來	huí lái	regresar; devolver	come back; return		回来	False	0
157	会（动）	會	huì	reunión; reunión; conferencia; unión; fiesta; poder; ser capaz de	meeting; gathering; conference; union; party; can; be able to		会	False	0
158	火车	火車	huǒ chē	tren	train		火车	False	0
159	机场	機場	jīchǎng	aeropuerto	Airport		机场	False	0
160	鸡蛋	雞蛋	jīdàn	huevo	Egg		鸡蛋	False	0
161	机票	機票	jī piào	boleto aereo	air ticket		机票	False	0
162	几	幾	jǐ	varios	several		几	False	0
163	记得	記得	jìdé	recordar	remember		记得	False	0
164	记住	記住	jì zhù	recordar; tenga en cuenta	remember; keep in mind		记住	False	0
165	家	家	jiā	hogar	home		家	False	0
166	记	記	jì	recordar	remember		记	False	0
167	家里	家裡	jiā lǐ	en la casa	In the home		家里	False	0
168	见面	見面	jiànmiàn	encontrarse	meet		见面	False	0
169	教	教	jiāo	enseñar	teach		教	False	0
170	家人	家人	jiā rén	familia	family		家人	False	0
171	间	間	jiān	entre; medir palabra para habitaciones	between; measure word for rooms		间	False	0
172	见	見	jiàn	ver; encontrarse	see; meet		见	False	0
173	叫（动）	呌	jiào	llamar; ser llamado	call; be called		叫	False	0
174	教学楼	教學樓	jiào xué lóu	edificio de enseñanza	teaching building		教学楼	False	0
175	介绍	介紹	jièshào	introducir	introduce		介绍	False	0
176	今年	今年	jīn nián	este año	this year		今年	False	0
177	姐姐	姐姐	jiějie	hermana mayor	elder sister		姐姐	False	0
178	今天	今天	jīntiān	hoy	Today		今天	False	0
179	进	進	jìn	ingresar	enter		进	False	0
180	进来	進來	jìn lái	adelante	come in		进来	False	0
181	进去	進去	jìn qù	entra	go in		进去	False	0
182	就	就	jiù	tan pronto como; de inmediato; entonces	as soon as; right away; then		就	False	0
183	觉得	覺得	juéde	pensar	Think		觉得	False	0
184	九	九	jiǔ	nueve	Nine		九	False	0
185	开	開	kāi	abierto	open		开	False	0
186	开车	開車	kāi chē	conducir; andar en coche	drive; drive a car		开车	False	0
187	开会	開會	kāi huì	tener una reunión	have a meeting		开会	False	0
188	开玩笑	開玩笑	kāiwánxiào	burlarse de	Make fun of		开玩笑	False	0
189	看	看	kàn	(kān) cuidar de; mantener bajo vigilancia (kàn) ver	(kān) take care of; keep under surveillance (kàn) see		看	False	0
190	看病	看病	kàn bìng	ver un doctor	see a doctor		看病	False	0
191	看到	看到	kàn dào	ver	see		看到	False	0
192	考	考	kǎo	prueba; examinar	test; examine		考	False	0
193	看见	看見	kànjiàn	vidente	seeing		看见	False	0
194	考试	考試	kǎoshì	examen	Examination		考试	False	0
195	渴	渴	kě	sediento	thirsty		渴	False	0
196	课	課	kè	curso	course		课	False	0
197	课本	課本	kè běn	libro de texto	textbook		课本	False	0
198	课文	課文	kè wén	texto	text		课文	False	0
199	口	口	kǒu	boca	mouth		口	False	0
200	块	塊	kuài	bloquear	block		块	False	0
201	快	快	kuài	rápido	fast		快	False	0
202	来	來	lái	venir	come		来	False	0
203	来到	來到	lái dào	venir; llegar	come; arrive		来到	False	0
204	老（形）	老	lǎo	viejo; envejecido; siempre; constantemente	old; aged; always; constantly		老	False	0
205	老人	老人	lǎo rén	las personas de edad; los ancianos	old people; the aged		老人	False	0
206	老师	老師	lǎoshī	maestro	Teacher		老师	False	0
207	了	瞭	le	marcador en tiempo pasado	past tense marker		了	False	0
208	累	纍	lèi	cansado	tired		累	False	0
209	冷	冷	lěng	frío	cold		冷	False	0
210	里	里	lǐ	en	in		里	False	0
211	里边	裡邊	lǐ biān	adentro	inside		里边	False	0
212	两（数）	兩	liǎng	dos; una unidad de peso (= 50 gramos)	two; a unit of weight (=50 grams)		两	False	0
213	零	零	líng	cero	zero		零	False	0
214	六	六	liù	seis	Six		六	False	0
215	楼	樓	lóu	piso	floor		楼	False	0
216	楼上	樓上	lóu shàng	piso superior	upstairs		楼上	False	0
217	楼下	樓下	lóu xià	abajo	downstairs		楼下	False	0
218	路口	路口	lù kǒu	intersección; cruce	intersection; crossing		路口	False	0
219	路上	路上	lù shàng	en la carretera	on the road		路上	False	0
220	妈妈	媽媽	māma	madre	mother		妈妈	False	0
221	马路	馬路	mǎ lù	camino; calle	road; street		马路	False	0
222	路	路	lù	camino	road		路	False	0
223	马上	馬上	mǎshàng	inmediatamente	Right off		马上	False	0
224	买	買	mǎi	comprar	buy		买	False	0
225	吗	嗎	ma	palabra auxiliar	auxiliary word		吗	False	0
226	慢	慢	màn	lento	slow		慢	False	0
227	忙	忙	máng	ocupado	busy		忙	False	0
228	毛（量）	毛	máo	una unidad fraccional de dinero en china; cabello; pelo	a fractional unit of money in China; hair; fur		毛	False	0
229	没	沒	méi	no	no		没	False	0
230	没关系	沒關係	méiguānxi	ningún problema	No problem		没关系	False	0
231	没什么	沒甚麼	méi shén me	no es nada	It’s nothing		没什么	False	0
232	没有	沒有	méi yǒu	no tengo; no	have not; no		没有	False	0
233	没事儿	沒事兒	méi shìr	está bien	It’s okay		没事儿	False	0
234	妹妹	妹妹	mèimei	hermana menor	younger sister		妹妹	False	0
235	门	門	mén	puerta	door		门	False	0
236	门口	門口	mén kǒu	puerta	doorway		门口	False	0
237	门票	門票	mén piào	entradas	tickets		门票	False	0
238	米饭	米飯	mǐfàn	arroz al vapor	Steamed Rice		米饭	False	0
239	们（朋友们）	們	men （ péng yǒu men ）	marcador plural para pronombres y algunos sustantivos animados (amigos)	plural marker for pronouns and a few animate nouns (friends)		们	False	0
240	面包	麵包	miànbāo	pan	Bread		面包	False	0
241	面条儿	麵條兒	miàn tiáor	fideos	noodles		面条儿	False	0
242	名字	名字	míngzi	nombre	Name		名字	False	0
243	明白	明白	míngbai	claro	clear		明白	False	0
244	明年	明年	míng nián	el próximo año	next year		明年	False	0
245	明天	明天	míngtiān	mañana	Tomorrow		明天	False	0
246	哪	哪	nǎ	cual	which		哪	False	0
247	哪里	哪裡	nǎ lǐ	dónde	where		哪里	False	0
248	哪儿	哪兒	nǎr	dónde	where		哪儿	False	0
249	哪些	哪些	nǎ xiē	cual	which		哪些	False	0
250	拿	拿	ná	llevar	take		拿	False	0
251	那边	那邊	nà biān	allá	there		那边	False	0
252	那（代）	那	nà	entonces; en ese caso; eso	then; in that case; that		那	False	0
253	那里	那裡	nà lǐ	allá	there		那里	False	0
254	那些	那些	nà xiē	aquellos	those		那些	False	0
255	奶	嬭	nǎi	leche	milk		奶	False	0
256	那儿	那兒	nàr	allá	there		那儿	False	0
257	奶奶	奶奶	nǎinai	abuela	grandma		奶奶	False	0
258	男孩儿	男孩兒	nán háir	chico	boy		男孩儿	False	0
259	男朋友	男朋友	nán péng yǒu	novio	boyfriend		男朋友	False	0
260	男	男	nán	hombre	Man		男	False	0
261	男生	男生	nán shēng	chico	boy		男生	False	0
262	南	南	nán	sur	south		南	False	0
263	男人	男人	nán ren	hombre	man		男人	False	0
264	南边	南邊	nán biān	sur; lado sur	south; south side		南边	False	0
265	呢	呢	ne	palabra auxiliar	auxiliary word		呢	False	0
266	难	難	nán	difícil	hard, difficult		难	False	0
267	你	你	nǐ	tú	you		你	False	0
268	能	能	néng	poder	can		能	False	0
269	你们	你們	nǐ men	tú	you		你们	False	0
270	您	您	nín	tú	you		您	False	0
271	牛奶	牛奶	niúnǎi	leche	milk		牛奶	False	0
272	女	女	nǚ	mujer	woman		女	False	0
273	年	秊	nián	año	year		年	False	0
274	女孩儿	女孩兒	nǚ háir	chica	girl		女孩儿	False	0
275	女儿	女兒	nǚ’ér	hija	daughter		女儿	False	0
276	女生	女生	nǚ shēng	chica	girl		女生	False	0
277	女朋友	女朋友	nǚ péng yǒu	novia	girlfriend		女朋友	False	0
278	旁边	旁邊	pángbiān	lado	Side		旁边	False	0
279	跑	跑	pǎo	correr	run		跑	False	0
280	女人	女人	nǚ ren	mujer	woman		女人	False	0
281	朋友	朋友	péngyou	amigo	Friend		朋友	False	0
282	票	票	piào	boleto	ticket		票	False	0
283	七	七	qī	siete	Seven		七	False	0
284	起床	起床	qǐchuáng	levantarse	Get up		起床	False	0
285	起来	起來	qǐlái	levantarse	get up		起来	False	0
286	起	起	qǐ	levantarse; comenzar; elevar	get up; start; rise		起	False	0
287	汽车	汽車	qì chē	auto	car		汽车	False	0
288	前	前	qián	frente	front		前	False	0
289	前边	前邊	qián biān	al frente	in front		前边	False	0
290	钱	錢	qián	dinero	money		钱	False	0
291	钱包	錢包	qián bāo	billetera	wallet		钱包	False	0
292	请	請	qǐng	por favor	please		请	False	0
293	前天	前天	qián tiān	antier	the day before yesterday		前天	False	0
294	请假	請假	qǐngjià	pedir permiso	ask for leave		请假	False	0
295	请问	請問	qǐng wèn	disculpe	excuse me		请问	False	0
296	请进	請進	qǐng jìn	por favor entra	please come in		请进	False	0
297	请坐	請坐	qǐng zuò	por favor tome asiento	please have a seat		请坐	False	0
298	球	球	qiú	pelota	ball		球	False	0
299	去年	去年	qùnián	el año pasado	Last year		去年	False	0
300	热	熱	rè	calor	heat		热	False	0
301	人	人	rén	gente	people		人	False	0
302	认识	認識	rènshi	saber	know		认识	False	0
303	认真	認真	rènzhēn	serio	earnest		认真	False	0
304	去	去	qù	ir	go		去	False	0
305	日	日	rì	fecha	date		日	False	0
306	日期	日期	rìqī	fecha	Date		日期	False	0
307	肉	肉	ròu	carne	meat		肉	False	0
308	山	山	shān	montaña	mountain		山	False	0
309	商场	商場	shāng chǎng	centro comercial; centro comercial	mall; shopping mall		商场	False	0
310	上	上	shàng	superior	upper		上	False	0
311	三	三	sān	tres	Three		三	False	0
312	商店	商店	shāngdiàn	comercio	Shop		商店	False	0
313	上班	上班	shàngbān	ir al trabajo	go to work		上班	False	0
314	上车	上車	shàng chē	subirse	get on		上车	False	0
315	上课	上課	shàng kè	ir a clases; tener una clase	attend class; have a class		上课	False	0
316	上网	上網	shàngwǎng	navegar por internet	Surf the Internet		上网	False	0
317	上边	上邊	shàng biān	arriba; en	above; on		上边	False	0
318	上学	上學	shàng xué	ir al colegio	go to school		上学	False	0
319	上午	上午	shàngwǔ	mañana	morning		上午	False	0
320	少	少	shǎo	menos	less		少	False	0
321	上次	上次	shàng cì	ultima vez	last time		上次	False	0
322	身上	身上	shēn shàng	cuerpo; en el cuerpo de uno	body; on one’s body		身上	False	0
323	谁	誰	shéi	oms	who		谁	False	0
324	身体	身體	shēntǐ	cuerpo	body		身体	False	0
325	生病	生病	shēngbìng	caer enfermo	Fall ill		生病	False	0
326	生气	生氣	shēngqì	enfadarse	get angry		生气	False	0
327	十	十	shí	diez	Ten		十	False	0
328	时候	時候	shíhou	tiempo	time		时候	False	0
329	时间	時間	shíjiān	tiempo	time		时间	False	0
330	事	事	shì	cosa	thing		事	False	0
331	试	試	shì	intentar	try		试	False	0
332	生日	生日	shēngrì	cumpleaños	Birthday		生日	False	0
333	是不是	是不是	shì bú shì	¿no es así?	isn’t it?		是不是	False	0
334	是	昰	shì	sí	yes		是	False	0
335	手机	手機	shǒujī	teléfono móvil	Mobile phone		手机	False	0
336	手	手	shǒu	mano	hand		手	False	0
337	书包	書包	shū bāo	bolsa para la escuela	school bag		书包	False	0
338	书	書	shū	libro	book		书	False	0
339	书店	書店	shū diàn	librería	bookstore		书店	False	0
340	树	樹	shù	árbol	tree		树	False	0
341	水	水	shuǐ	agua	water		水	False	0
342	水果	水果	shuǐguǒ	frutas	Fruits		水果	False	0
343	睡	睡	shuì	dormir	sleep		睡	False	0
344	说	說	shuō	hablar	speak		说	False	0
345	说话	說話	shuōhuà	hablar	talk		说话	False	0
346	睡觉	睡覺	shuìjiào	dormir	sleep		睡觉	False	0
347	送	送	sòng	dar	give		送	False	0
348	四	四	sì	cuatro	Four		四	False	0
349	岁	歲	suì	año, edad	year, age		岁	False	0
350	他们	他們	tā men	ellos	they		他们	False	0
351	什么	什麼	shénme	qué	What		什么	False	0
352	她	她	tā	ella	she		她	False	0
353	她们	她們	tā men	ellos	they		她们	False	0
354	天	天	tiān	día	day		天	False	0
355	他	他	tā	él	he		他	False	0
356	太	太	tài	también	too		太	False	0
357	天气	天氣	tiānqì	clima	weather		天气	False	0
358	听到	聽到	tīng dào	escuchar	hear		听到	False	0
359	听见	聽見	tīng jiàn	escuchar	hear		听见	False	0
360	听写	聽寫	tīng xiě	dictado; dictar	dictation; dictate		听写	False	0
361	听	聽	tīng	escuchar	hear		听	False	0
362	图书馆	圖書館	túshūguǎn	biblioteca	Library		图书馆	False	0
363	外	外	wài	en el extranjero, afuera	abroad, outside		外	False	0
364	外边	外邊	wài biān	afuera	outside		外边	False	0
365	同学	同學	tóngxué	compañera de clases	Classmate		同学	False	0
366	外国	外國	wài guó	país extranjero	foreign country		外国	False	0
367	玩儿	玩兒	wánr	jugar	play		玩儿	False	0
368	晚	晚	wǎn	tarde	late		晚	False	0
369	晚饭	晚飯	wǎn fàn	cena	dinner		晚饭	False	0
370	晚上	晚上	wǎnshang	noche	Night		晚上	False	0
371	网上	網上	wǎng shàng	en línea	online		网上	False	0
372	网友	網友	wǎng yǒu	amigo net	net friend		网友	False	0
373	外语	外語	wài yǔ	idioma extranjero	foreign language		外语	False	0
374	忘记	忘記	wàngjì	olvidar	forget		忘记	False	0
375	忘	忘	wàng	olvidar	forget		忘	False	0
376	问	問	wèn	preguntar	ask		问	False	0
377	我们	我們	wǒmen	nosotros	We		我们	False	0
378	我	我	wǒ	i	I		我	False	0
379	五	五	wǔ	cinco	Five		五	False	0
380	午饭	午飯	wǔ fàn	almuerzo	lunch		午饭	False	0
381	西	西	xī	oeste	west		西	False	0
382	西边	西邊	xī biān	oeste; lado oeste	west; west side		西边	False	0
383	洗	洗	xǐ	lavar	wash		洗	False	0
384	洗手间	洗手間	xǐshǒujiān	baño	Restroom		洗手间	False	0
385	喜欢	喜歡	xǐhuan	como	like		喜欢	False	0
386	下（名、动）	下	xià	abajo; bajo; próximo; bajar; bajar	below; under; next; go down; get off		下	False	0
387	下班	下班	xià bān	salir del trabajo	get off work		下班	False	0
388	下边	下邊	xià biān	abajo; bajo	below; under		下边	False	0
389	下车	下車	xià chē	bajar	get off		下车	False	0
390	下次	下次	xià cì	la próxima vez	next time		下次	False	0
391	下课	下課	xià kè	clase de acabado	finish class		下课	False	0
392	下午	下午	xiàwǔ	tarde	Afternoon		下午	False	0
393	下雨	下雨	xiàyǔ	lluvia	rain		下雨	False	0
394	先	先	xiān	antes	before		先	False	0
395	先生	先生	xiānsheng	señor	Sir		先生	False	0
396	想	想	xiǎng	pensar	think		想	False	0
397	现在	現在	xiànzài	ahora	Now		现在	False	0
398	小	小	xiǎo	pequeño	Small		小	False	0
399	小孩儿	小孩兒	xiǎo háir	niño; niño	child; kid		小孩儿	False	0
400	小姐	小姐	xiǎojiě	extrañar	Miss		小姐	False	0
401	小时	小時	xiǎoshí	hora	hour		小时	False	0
402	小朋友	小朋友	xiǎo péng yǒu	niño; niño	child; kid		小朋友	False	0
403	小学	小學	xiǎo xué	escuela primaria; schoo de primaria	primary school; elementary schoo		小学	False	0
404	小学生	小學生	xiǎo xué shēng	estudiante de escuela primaria	elementary school student		小学生	False	0
405	笑	笑	xiào	reír	laugh		笑	False	0
406	写	寫	xiě	escribir	write		写	False	0
407	谢谢	謝謝	xièxie	gracias	Thank you		谢谢	False	0
408	新	新	xīn	nuevo	new		新	False	0
409	新年	新年	xīn nián	año nuevo	New Year		新年	False	0
410	星期	星期	xīngqī	semana	week		星期	False	0
411	星期日	星期日	xīng qī rì	domingo	Sunday		星期日	False	0
412	星期天	星期天	xīng qī tiān	domingo	Sunday		星期天	False	0
413	行	行	xíng	(xíng) está bien (háng) fila, línea	(xíng) that’s ok (háng) row, line		行	False	0
414	休息	休息	xiūxi	descansar	Rest		休息	False	0
415	学生	學生	xuésheng	alumno	Student		学生	False	0
416	学	學	xué	aprender; estudiar	learn; study		学	False	0
417	学习	學習	xuéxí	estudiar	Study		学习	False	0
418	学校	學校	xuéxiào	escuela	School		学校	False	0
419	学院	學院	xué yuàn	colega; academia	college; academy		学院	False	0
420	要（动）	要	yào	si; desear	if; want		要	False	0
421	爷爷	爺爺	yéye	abuelo	grandpa		爷爷	False	0
422	页	頁	yè	página	page		页	False	0
423	衣服	衣服	yīfu	ropa	clothes		衣服	False	0
424	也	也	yě	también	also		也	False	0
425	医生	醫生	yīshēng	doctor	Doctor		医生	False	0
426	医院	醫院	yīyuàn	hospital	Hospital		医院	False	0
427	一	一	yī	uno	One		一	False	0
428	一会儿	一會兒	yíhuìr	un rato; en un momento; ahora; un poco de tiempo	awhile; in a moment; presently; A little while		一会儿	False	0
429	一块儿	一塊兒	yí kuàir	juntos	together		一块儿	False	0
430	一下儿	一下兒	yí xiàr	un poco; un poco de tiempo	a little bit; a little while		一下儿	False	0
431	一半	一半	yí bàn	medio	half		一半	False	0
432	一边	一邊	yìbiān	un lado	One side		一边	False	0
433	一点儿	一點兒	yīdiǎnr	un poco	a little bit		一点儿	False	0
434	一起	一起	yìqǐ	juntos	together		一起	False	0
435	一些	一些	yì xiē	alguno	some		一些	False	0
436	一样	一樣	yíyàng	igualmente	equally		一样	False	0
437	有的	有的	yǒu de	alguno	some		有的	False	0
438	有	有	yǒu	tener	have		有	False	0
439	有名	有名	yǒumíng	famoso	Famous		有名	False	0
440	用	用	yòng	usar	use		用	False	0
441	有时候	有時候	yǒushíhou	a veces	sometimes		有时候	False	0
442	有些	有些	yǒuxiē	alguno	some		有些	False	0
443	有用	有用	yǒu yòng	útil	useful		有用	False	0
444	右	右	yòu	bien	right		右	False	0
445	右边	右邊	yòubian	bien	Right		右边	False	0
446	雨	雨	yǔ	lluvia	rain		雨	False	0
447	元	元	yuán	elemento; yuan	element; Yuan		元	False	0
448	远	遠	yuǎn	lejos	far		远	False	0
449	月	月	yuè	mes	month		月	False	0
450	再	再	zài	de nuevo	again		再	False	0
451	再见	再見	zàijiàn	adiós	Bye		再见	False	0
452	在	在	zài	permanecer; en proceso de	stay; in process of		在	False	0
453	在家	在傢	zài jiā	en casa	at home		在家	False	0
